UIC Number,API Number,Operator Name,Operator Number,Lease Name,Well Number,Well Total Depth ft,Shut-in Bottom Hole Pressure - Daily (Method 3 (NTO) / Meas),Shut-In Bottom Hole Pressure after 24 hours - Quarterly (Method 1 (NTO) / Calc),Shut-In Bottom Hole Pressure after 24 hours - Quarterly (Method 2 (NTO) / Meas),Date of Measurement,Top of Completed Interval TVD (ft.),LIQUID DENSITY,MEAS BHP AVE INJ,MEAS BHP MAX INJ,CALC BHP AVE INJ,CALC BHP MAX INJ,MEAS SURF P STATIC,STATIC P SHUTIN TIME,Pressure Gradient (PSI/FT),Date Added
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-01,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1331.208232605652,,,2024-01-01,1729,,,,,,,,0.7699295735139687,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1330.832079208863,,,2024-01-02,1729,,,,,,,,0.7697120180502388,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-02,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-03,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1320.769241496501,,,2024-01-03,1729,,,,,,,,0.7638919846711979,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1322.001005694849,,,2024-01-04,1729,,,,,,,,0.7646043988981197,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-04,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-05,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1321.229371590403,,,2024-01-05,1729,,,,,,,,0.7641581096532116,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1324.249239669871,,,2024-01-06,1729,,,,,,,,0.7659047077327189,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-06,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-07,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1313.842167716476,,,2024-01-07,1729,,,,,,,,0.759885579940125,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1317.219963436606,,,2024-01-08,1729,,,,,,,,0.7618391922710271,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-08,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-09,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1326.046001521307,,,2024-01-09,1729,,,,,,,,0.766943899086933,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1326.882998435533,,,2024-01-10,1729,,,,,,,,0.7674279921547328,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-10,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-11,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1331.071617796802,,,2024-01-11,1729,,,,,,,,0.769850559743668,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1296.971559573765,,,2024-01-12,1729,,,,,,,,0.7501281431889908,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-12,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-13,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1260.543047595428,,,2024-01-13,1729,,,,,,,,0.7290590211656611,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1284.303582709965,,,2024-01-14,1729,,,,,,,,0.7428013780855783,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-14,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-15,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1296.627928748812,,,2024-01-15,1729,,,,,,,,0.7499293977725923,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1301.82125976006,,,2024-01-16,1729,,,,,,,,0.7529330594332331,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-16,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-17,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1305.807902129715,,,2024-01-17,1729,,,,,,,,0.7552388097916224,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1307.992407584005,,,2024-01-18,1729,,,,,,,,0.7565022600254511,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-18,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-19,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1310.822560365351,,,2024-01-19,1729,,,,,,,,0.7581391326578085,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1312.402449513196,,,2024-01-20,1729,,,,,,,,0.7590528915634448,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-20,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-21,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1312.742413079789,,,2024-01-21,1729,,,,,,,,0.759249515951295,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1307.093718519148,,,2024-01-22,1729,,,,,,,,0.7559824861302187,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-22,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-23,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1320.184200636126,,,2024-01-23,1729,,,,,,,,0.763553615174162,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1318.22527404894,,,2024-01-24,1729,,,,,,,,0.7624206327639907,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-24,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-25,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1318.259423310391,,,2024-01-25,1729,,,,,,,,0.7624403836381671,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1322.063241938598,,,2024-01-26,1729,,,,,,,,0.7646403944121445,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-26,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-27,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1324.914725431003,,,2024-01-27,1729,,,,,,,,0.7662896040665141,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1288.072733757683,,,2024-01-28,1729,,,,,,,,0.744981338205716,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-28,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-29,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1252.408824275873,,,2024-01-29,1729,,,,,,,,0.724354438563258,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1281.560666951751,,,2024-01-30,1729,,,,,,,,0.7412149606430023,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-30,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-01-31,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1197.003068869068,,,2024-01-31,1729,,,,,,,,0.6923094672464246,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1272.838393333787,,,2024-02-01,1729,,,,,,,,0.7361702679778989,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-01,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-02,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1240.510377674252,,,2024-02-02,1729,,,,,,,,0.7174727459076067,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1276.205552363025,,,2024-02-03,1729,,,,,,,,0.7381177283765327,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-03,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-04,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1280.821685943786,,,2024-02-04,1729,,,,,,,,0.740787556936834,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1292.839746679526,,,2024-02-05,1729,,,,,,,,0.7477384306995523,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-05,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-06,2030,,,,,,,,0,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1300.681767121777,,,2024-02-06,1729,,,,,,,,0.7522740122161811,2024-08-22
000125202,10933824,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S27 DMG SWD,1,3793,1306.069646946955,,,2024-02-07,1729,,,,,,,,0.7553901948796732,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-07,2030,,,,,,,,0,2024-08-22
000125201,10933825,CHEVRON U. S. A. INC.,148113,DR BLK60 T1S S23 DMG SWD,1,4064,0,,,2024-02-08,2030,,,,,,,,0,2024-08-22
