OBJECTID,F1,EventId,yr,mon,day,hr,min_,sec,evid,latR,lonR,depR,mag,qID,cID,nbranch,qnpair,qndiffP,qndiffS,rmsP,rmsS,eh,ez,et,latC,lonC,depC,EventDate,Shape
1,0,texnet2017pfgy,2017,8,5,8,13,25.402,18692005,31.39791,-103.54559,3.744,1.82,351,25,56,1,3,3,0,0,-1,-1,-1,31.37805,-103.55138,2.867,1501920805000,
2,1,texnet2017plzo,2017,8,9,0,26,35.617,19009595,31.39594,-103.51387,1.908,1.72,354,65,19,1,3,3,0,0.01,-1,-1,-1,31.39734,-103.50952,3.278,1502238395000,
3,2,texnet2017qfxw,2017,8,19,22,18,11.26,19952290,31.44606,-103.58922,4.06,1.99,372,105,9,1,3,3,0,0,-1,-1,-1,31.44239,-103.58252,6.26,1503181091000,
4,3,texnet2017qnnp,2017,8,24,2,12,20.973,20311940,31.15038,-103.3055,5.77,3.01,392,359,2,1,3,3,0,0.02,-1,-1,-1,31.15674,-103.30568,6.209,1503540740000,
5,4,texnet2017rfrv,2017,9,3,0,47,20.904,21170840,31.17525,-103.31564,6.189,2.36,425,117,8,3,11,9,0.01,0.01,-1,-1,-1,31.16548,-103.31154,4.306,1504399640000,
6,5,texnet2017rgcy,2017,9,3,6,24,36.572,21191076,31.17602,-103.31718,5.873,2.68,427,117,8,3,13,10,0.01,0.02,-1,-1,-1,31.17287,-103.32973,8.111,1504419876000,
7,6,texnet2017rgdg,2017,9,3,6,34,32.272,21191671,31.17635,-103.31991,4.846,2.03,429,117,8,3,10,10,0.01,0.02,-1,-1,-1,31.14437,-103.3298,4.615,1504420472000,
8,7,texnet2017shqr,2017,9,18,8,1,22.755,22492882,31.39709,-103.4969,2.048,1.51,463,68,17,3,10,11,0,0,-1,-1,-1,31.39734,-103.49664,3.072,1505721682000,
9,8,texnet2017ssbl,2017,9,24,0,50,0.608,22985400,31.08825,-103.467,5.953,1.77,473,249,4,1,2,4,0.01,0.01,-1,-1,-1,31.07865,-103.48318,5.54,1506214200000,
10,9,texnet2017ssxp,2017,9,24,12,2,20.066,23025740,31.39828,-103.54571,3.763,1.62,475,25,56,1,3,3,0,0,-1,-1,-1,31.38531,-103.54957,2.867,1506254540000,
11,10,texnet2017sxrf,2017,9,27,2,28,33.859,23250513,31.42207,-103.56233,5.134,1.89,478,522,2,1,3,3,0,0,-1,-1,-1,31.42583,-103.56212,5.746,1506479313000,
12,11,texnet2017sxrl,2017,9,27,2,35,5.149,23250905,31.42246,-103.5619,5.098,1.74,479,522,2,1,3,3,0,0,-1,-1,-1,31.4187,-103.56211,4.486,1506479705000,
13,12,texnet2017sxvj,2017,9,27,4,33,31.169,23258010,31.44316,-103.56789,5.734,1.66,481,48,24,2,4,8,0.01,0.01,-1,-1,-1,31.45067,-103.56104,5.643,1506486811000,
14,13,texnet2017sylu,2017,9,27,12,52,3.667,23287923,31.40126,-103.54795,4.592,2.14,487,25,56,1,4,2,0,0,-1,-1,-1,31.39544,-103.55352,5.026,1506516723000,
15,14,texnet2017tkwv,2017,10,4,8,4,29.077,23875469,31.45648,-103.60986,7.374,1.16,505,545,2,1,2,4,0.01,0,-1,-1,-1,31.45801,-103.61153,6.054,1507104269000,
16,15,texnet2017tkxc,2017,10,4,8,12,56.566,23875976,31.45586,-103.6089,7.305,1.73,506,545,2,1,2,4,0.01,0,-1,-1,-1,31.45433,-103.60723,8.625,1507104776000,
17,16,texnet2017tolg,2017,10,6,6,47,7.828,24043627,31.40434,-103.5149,3.714,1.64,511,163,6,1,2,4,0,0,-1,-1,-1,31.40378,-103.50844,4.409,1507272427000,
18,17,texnet2017trmx,2017,10,7,23,0,18.848,24188418,31.40526,-103.56991,4.859,1.46,517,24,58,3,8,10,0.01,0.01,-1,-1,-1,31.39735,-103.55675,3.586,1507417218000,
