UIC,API,inj_date,vol_bbls,cmpl_top,cmpl_bot,UIC_type,wtd_ft,slon,slat
000109778,47536617,2023-12-01,9221.19140625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-01,24014,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-01,18555,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-01,19196.90625,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-01,11952.693359375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-01,23652.7265625,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-01,18589.443359375,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-02,7330.982421875,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-02,18719,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-02,19069,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-02,18808.453125,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-02,12925.181640625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-02,25411.828125,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-02,18469.015625,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-03,9130.890625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-03,24355,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-03,18984,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-03,18849.78125,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-03,12960.828125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-03,25452.6171875,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-03,18524.326171875,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-04,9407.31640625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-04,24983,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-04,18730,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-04,18613.0234375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-04,12277.33984375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-04,25367.087890625,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-04,18685.11328125,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-05,9058.515625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-05,24483,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-05,19256,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-05,18706.92578125,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-05,11467.611328125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-05,25059.52734375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-05,18188.603515625,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-06,8728.05078125,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-06,24096,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-06,19126,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-06,18485.44921875,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-06,11854.2451171875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-06,25645.15625,6510,8200,1,8400,-103.307794,31.435014
