api,uictype,formation,injbot,slon,slat,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023,1/2024
10933170,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,460244.0,373056.0,487567.0,332283.0,298921.0,237955.0,283137.0,306821.0,336006.0,338653.0,311775.0,236943.0,0.0,610818.0,28857.0,772474.0,632990.0,588155.0,615620.0,601764.0,598053.0,584946.0,446017.0,458761.0,518858.0,521228.75,409449.0,583296.0,598678.5,584477.5,596937.0,603848.5,417539.0,439294.5,446247.5,457469.0,453839.0,400497.0,457371.0,439847.0,452884.0,423688.0,449169.0,459113.0,438869.0,455960.0,443868.0,459413.0,0
10933281,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,338573.5,458175.0,431760.5,483483.5,237580.0,316258.0,408002.0,488237.0,478918.0,418294.0,429926.0,420631.0,474777.0,318463.0,511206.0,551497.0,572887.0,468690.0,494443.0,372593.0,418732.0,650288.0,450094.0,491732.0,476874.0,416696.0,210686.0,184080.0,385612.0,323420.0,304112.0,226774.0,335240.0,580981.9999999999,186594.40000000002,408168.0,222119.0,99266.0,353601.0,135795.0,0.0,0.0,0.0,0.0,112059.0,164844.0,194807.0,202942.0,0
10932950,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,2873.921875,9324.145869599999,2870.640625,2743.3125,2735.6875,2728.5625,2783.578125,2751.6875,2500.921875,93.0625,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,37882.534492499995,1743.61474629,1616.734374964,709.15917969,1008.4599609,756.1455078199999,339.49121098,282.7958984,526.3085938,372.85156249,573.2451172,419.801757875,2585.0440161639995,2553.04201018,2710.58025951,2629.7099999999996,1660.0,0.0,1672.0,3993.0,60676.0,51798.0,2774.0,2286.0,1777.0,709.0,527.0,2869.0,2702.0,0
10933026,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,772659.0,562774.285714,560938.0,543228.0,118170.0,154213.0,464671.0,107508.0,203509.0,516876.0,211821.0,450498.0,369820.0,72627.822497,0.0,0.0,0.0,0.0,186767.0,606789.0,554335.22737,467647.3780775001,58035.0,306456.0,393588.20656615,556220.98290025,883384.8863499998,598468.318143,615201.4191400001,777312.0170799998,631025.1442000001,307365.1955910001,267638.82588417997,109583.95269099998,106599.6556459,117336.852176871,20826.336444229997,129911.0,48182.0,356227.0,34784.0,391.0,545.0,126.0,1275.0,2469.0,935.0,950.0,0
10933539,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0.0,0.0,0.0,0.0,0.0,0.0,1235822.6563000001,1580892.5782200005,1670060.5469600004,1689838.2813300004,1570285.9375800004,1641934.7657100004,1621268.3594300002,948528.98164,1461648.6971500004,1230833.36257,1259116.0,1102408.0,1043078.0,1035929.0,1136367.1288899998,1215399.2180299999,1014038.0,1034742.0,1034439.5129600001,941558.8218,942782.39564,763596.3437500001,1124494.49907,845448.5865200001,915283.5053399999,903897.4040000001,599032.6849863478,434907.10356200003,358740.6117809999,208103.19884900007,60494.70912200001,331646.0,560755.0,458566.0,15447.0,688.0,795.0,728.0,5256.0,646.0,3242.0,556.0,0
10933387,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,14728.0,9835.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10932395,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,651928.0,618322.0,775463.0,672712.0,210782.0,202059.0,447136.0,841149.0,579447.0,438856.0,0.0,0.0,0.0,0.0,122721.0,194618.0,379810.0,674175.0,535171.0,734878.0,340454.0,158279.0,89752.0,684312.0,690077.0,593770.0,730482.0,878448.0,929713.0,797475.0,807946.0,866825.0,1042549.0,954834.0,841035.0,44707.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,124614.0,52494.0,0.0,0.0,5331.0,0
38935294,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,526633.0,536666.0,573360.0,543859.0,523341.0,474284.0,489728.0,456688.0,448370.0,411379.0,417318.0,408294.0,423263.0,190730.0,409500.0,428789.0,418252.0,386597.0,417358.0,410621.0,382137.0,401158.0,344469.0,326616.0,360984.0,380296.0,424871.0,465657.0,472762.0,416890.0,406142.0,443962.0,477138.0,516824.0,488142.0,492336.0,384612.0,470886.0,510103.79,499776.0,495312.0,427210.0,486421.39,468222.0,515528.0,453708.0,472648.0,566648.0,0
10933282,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,489546.0,715083.0,544273.5,566458.0,278362.0,369724.0,467633.0,620643.0,635589.0,503954.0,556009.0,550976.0,656745.0,434337.0,693831.0,708961.0,708972.0,539690.0,574232.0,507254.0,578954.0,837322.0,633092.0,693040.0,646250.0,440590.0,235450.0,158122.0,369766.0,296426.0,348264.0,238094.0,204590.0,572101.4,303246.99999999994,223810.0,135287.0,145575.0,454511.0,172443.0,0.0,0.0,0.0,0.0,87866.0,155830.0,193009.0,201997.0,0
10932853,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,164132.07570600003,53981.43604146,436307.21006421,692260.8262300002,466168.10845142993,425900.30542376003,327638.44561116,635486.818245,535359.6691900002,579187.274222,536089.204668,575564.190141,567202.0366406101,332325.81231600005,486426.3137029199,516124.5659919999,545764.0,301722.0,132926.0,304926.0,445698.70980331,584567.5059400001,515145.0,442870.0,473060.7220039999,403051.60401400004,473079.5503260001,307263.61956399994,206792.556568,224996.47404,9738.56878783,0.0,176764.603578725,296082.91390702996,172063.03957419997,145792.2676722,42286.45528287498,5619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
