eventid,origindate,origintime,localmag,latitude,longitude,depth_km_msl,quartyear,eventmonth,eventyear,pyrundate
texnet2025bbfr,2025-01-15,21:17:02,2.4,31.5893,-104.5274,3.7,2025 Q1,1,2025,20250116
texnet2025bbfi,2025-01-15,21:16:42,2.4,31.5809,-104.5327,3.5,2025 Q1,1,2025,20250116
texnet2025bbfa,2025-01-15,21:08:57,2.3,31.5797,-104.5509,3.2,2025 Q1,1,2025,20250116
texnet2025bbci,2025-01-15,19:49:23,1.2,32.4127,-101.3950,4.6,2025 Q1,1,2025,20250116
texnet2025bbbq,2025-01-15,19:27:47,2.1,31.6705,-104.3920,6.8,2025 Q1,1,2025,20250116
texnet2025bbah,2025-01-15,18:49:53,2.0,31.5843,-104.5417,3.3,2025 Q1,1,2025,20250116
texnet2025bazy,2025-01-15,18:36:51,1.9,31.9967,-102.2241,7.3,2025 Q1,1,2025,20250116
texnet2025baxg,2025-01-15,17:17:02,1.7,32.4106,-101.3963,3.3,2025 Q1,1,2025,20250116
texnet2025baww,2025-01-15,17:05:25,1.3,32.4083,-101.4017,4.2,2025 Q1,1,2025,20250116
texnet2025bawt,2025-01-15,17:01:00,2.1,32.4098,-101.3983,4.1,2025 Q1,1,2025,20250116
texnet2025batu,2025-01-15,15:31:49,1.6,31.6219,-104.4722,3.5,2025 Q1,1,2025,20250116
texnet2025bakc,2025-01-15,10:38:33,1.5,31.8250,-103.6492,6.0,2025 Q1,1,2025,20250116
texnet2025baja,2025-01-15,10:05:41,1.8,31.6841,-104.3041,6.1,2025 Q1,1,2025,20250116
texnet2025bagf,2025-01-15,08:40:28,2.0,31.6088,-103.9831,8.3,2025 Q1,1,2025,20250116
texnet2025bafg,2025-01-15,08:11:14,1.6,32.3637,-102.1095,5.3,2025 Q1,1,2025,20250116
texnet2025azwy,2025-01-15,03:59:50,2.0,31.7355,-104.3806,6.6,2025 Q1,1,2025,20250116
texnet2025azpu,2025-01-15,00:21:23,1.6,31.7024,-104.1423,7.1,2025 Q1,1,2025,20250116
texnet2025azpd,2025-01-14,23:58:44,1.6,31.6998,-104.1442,7.0,2025 Q1,1,2025,20250116
texnet2025azmq,2025-01-14,22:48:01,1.6,31.3819,-103.6515,7.5,2025 Q1,1,2025,20250116
texnet2025azfi,2025-01-14,19:03:27,1.5,31.8796,-101.4997,8.0,2025 Q1,1,2025,20250116
texnet2025azdi,2025-01-14,18:00:10,1.7,28.8657,-99.0776,7.5,2025 Q1,1,2025,20250116
texnet2025aytl,2025-01-14,12:57:41,1.5,32.4069,-102.0721,6.5,2025 Q1,1,2025,20250116
texnet2025aytd,2025-01-14,12:48:52,2.8,32.0040,-103.8459,7.2,2025 Q1,1,2025,20250116
texnet2025aysk,2025-01-14,12:29:10,1.6,31.6123,-103.9811,6.9,2025 Q1,1,2025,20250116
texnet2025aysg,2025-01-14,12:24:25,1.6,31.7300,-104.0934,5.6,2025 Q1,1,2025,20250116
texnet2025aysb,2025-01-14,12:19:34,1.6,31.7310,-104.0920,6.6,2025 Q1,1,2025,20250116
