eventid,eventdate,year,month,day,lat_reloc,lon_reloc,depth_reloc,magnitude,cat_lat,cat_lon,cat_depth
texnet2017bumg,2017-01-26,2017,1,26,31.39917,-103.46463,2.29,1.87,31.41266,-103.47192,0.024
texnet2017cmid,2017-02-05,2017,2,5,31.40522,-103.49604,0.017,2.18,31.424,-103.49769,3.381
texnet2017corr,2017-02-06,2017,2,6,31.41639,-103.52176,6.263,1.52,31.44008,-103.50251,2.712
texnet2017cqbk,2017-02-07,2017,2,7,31.25028,-103.43383,8.484,1.79,31.25803,-103.42545,8.471
texnet2017ctzc,2017-02-09,2017,2,9,31.47579,-103.60116,8.556,1.51,31.49202,-103.6094,4.923
texnet2017cwhc,2017-02-10,2017,2,10,31.0907,-103.33791,6.134,1.02,31.08879,-103.34438,7.237
texnet2017cxfj,2017-02-11,2017,2,11,31.38483,-103.50879,2.646,2.11,31.40378,-103.51381,4.203
texnet2017cxhi,2017-02-11,2017,2,11,31.40534,-103.48158,4.555,1.73,31.38674,-103.45961,3.124
texnet2017cxsg,2017-02-11,2017,2,11,31.38483,-103.50415,3.107,1.36,31.43227,-103.49876,4.512
texnet2017cxvs,2017-02-11,2017,2,11,31.13064,-103.46899,2.044,2.33,31.09492,-103.48935,5.437
texnet2017cxxn,2017-02-11,2017,2,11,31.41425,-103.5173,5.653,1.65,31.41204,-103.48911,3.072
texnet2017cyfr,2017-02-11,2017,2,11,31.40839,-103.38732,5.752,2.09,31.52492,-103.32994,7.186
texnet2017czqk,2017-02-12,2017,2,12,31.10673,-103.44709,7.573,1.28,31.09768,-103.4947,5.746
texnet2017dbgf,2017-02-13,2017,2,13,31.43094,-103.44029,3.149,2.56,31.41846,-103.46656,3.689
texnet2017dcct,2017-02-13,2017,2,13,31.13893,-103.49437,3.649,1.32,31.11975,-103.51074,5.746
texnet2017dcii,2017-02-13,2017,2,13,31.50703,-103.70084,6.279,2.24,31.5241,-103.72335,6.157
texnet2017dcvh,2017-02-14,2017,2,14,31.43813,-103.60422,5.529,1.54,31.44882,-103.59112,2.969
texnet2017ddfo,2017-02-14,2017,2,14,31.16065,-103.54168,2.379,1.69,31.14365,-103.5225,6.054
texnet2017demh,2017-02-15,2017,2,15,31.14832,-103.3353,5.787,2.2,31.13706,-103.35336,4.306
texnet2017dgez,2017-02-16,2017,2,16,31.15756,-103.5321,1.977,1.26,31.14458,-103.53535,3.792
texnet2017dghj,2017-02-16,2017,2,16,31.15293,-103.50919,4.352,1.24,31.13814,-103.52999,3.998
