eventID,year,month,day,LatReloc,LonReloc,depthReloc,mag,LatCat,LonCat,depthCat
texnet2017pfgy,2017,8,5,31.39791,-103.54559,3.744,1.82,31.37805,-103.55138,2.867
texnet2017plzo,2017,8,9,31.39594,-103.51387,1.908,1.72,31.39734,-103.50952,3.278
texnet2017qfxw,2017,8,19,31.44606,-103.58922,4.06,1.99,31.44239,-103.58252,6.26
texnet2017qnnp,2017,8,24,31.15038,-103.3055,5.77,3.01,31.15674,-103.30568,6.209
texnet2017rfrv,2017,9,3,31.17525,-103.31564,6.189,2.36,31.16548,-103.31154,4.306
texnet2017rgcy,2017,9,3,31.17602,-103.31718,5.873,2.68,31.17287,-103.32973,8.111
texnet2017rgdg,2017,9,3,31.17635,-103.31991,4.846,2.03,31.14437,-103.3298,4.615
texnet2017shqr,2017,9,18,31.39709,-103.4969,2.048,1.51,31.39734,-103.49664,3.072
texnet2017ssbl,2017,9,24,31.08825,-103.467,5.953,1.77,31.07865,-103.48318,5.54
texnet2017ssxp,2017,9,24,31.39828,-103.54571,3.763,1.62,31.38531,-103.54957,2.867
texnet2017sxrf,2017,9,27,31.42207,-103.56233,5.134,1.89,31.42583,-103.56212,5.746
texnet2017sxrl,2017,9,27,31.42246,-103.5619,5.098,1.74,31.4187,-103.56211,4.486
texnet2017sxvj,2017,9,27,31.44316,-103.56789,5.734,1.66,31.45067,-103.56104,5.643
texnet2017sylu,2017,9,27,31.40126,-103.54795,4.592,2.14,31.39544,-103.55352,5.026
texnet2017tkwv,2017,10,4,31.45648,-103.60986,7.374,1.16,31.45801,-103.61153,6.054
texnet2017tkxc,2017,10,4,31.45586,-103.6089,7.305,1.73,31.45433,-103.60723,8.625
texnet2017tolg,2017,10,6,31.40434,-103.5149,3.714,1.64,31.40378,-103.50844,4.409
texnet2017trmx,2017,10,7,31.40526,-103.56991,4.859,1.46,31.39735,-103.55675,3.586
texnet2017ubdg,2017,10,13,31.4034,-103.50192,2.821,1.49,31.39274,-103.49127,3.072
texnet2017ubog,2017,10,13,31.11494,-103.43221,7.154,2.1,31.11877,-103.42618,6.054
texnet2017ufft,2017,10,15,31.30011,-103.62033,6.719,1.95,31.28795,-103.63931,6.569
texnet2017ufoy,2017,10,15,31.36513,-103.5095,3.46,1.9,31.36655,-103.49827,4.152
texnet2017ufpo,2017,10,15,31.36521,-103.51099,3.454,1.95,31.35552,-103.51544,1.89
texnet2017ufxw,2017,10,15,31.40195,-103.50486,1.385,1.15,31.40194,-103.50415,3.175
texnet2017uggd,2017,10,16,31.40247,-103.51291,3.422,1.34,31.3939,-103.51784,3.612
texnet2017ugiz,2017,10,16,31.38932,-103.5463,3.046,1.9,31.38449,-103.55568,1.324
texnet2017ugxq,2017,10,16,31.3655,-103.51121,3.446,1.31,31.37345,-103.52026,5.026
texnet2017uhtm,2017,10,16,31.36577,-103.51073,3.575,1.81,31.36609,-103.50846,2.867
texnet2017upwr,2017,10,21,31.408,-103.55702,8.451,1.26,31.40379,-103.55997,10.168
texnet2017uqnz,2017,10,21,31.28237,-103.5938,3.964,1.98,31.26682,-103.59749,3.689
texnet2017usgr,2017,10,22,31.40343,-103.56362,4.539,1.65,31.39184,-103.55353,3.484
texnet2017uwqg,2017,10,24,31.20142,-103.29278,2.55,2.61,31.18019,-103.3115,4.615
texnet2017uwqy,2017,10,25,31.20065,-103.29126,2.906,2.14,31.19764,-103.30396,4.409
texnet2017vbcd,2017,10,27,31.17461,-103.28519,5.112,2.18,31.16265,-103.27835,5.437
texnet2017vcet,2017,10,28,31.40521,-103.56727,5.057,1.45,31.38908,-103.56856,2.044
texnet2017vcno,2017,10,28,31.40552,-103.56793,5.136,1.84,31.39184,-103.55245,5.437
texnet2017vekt,2017,10,29,31.08917,-103.46675,4.779,1.71,31.09398,-103.44976,4.306
texnet2017vjan,2017,10,31,31.17807,-103.2527,5.676,1.87,31.16166,-103.24516,3.689
texnet2017vnbn,2017,11,2,31.38296,-103.51625,3.656,1.46,31.36977,-103.50846,4.101
texnet2017vovk,2017,11,3,31.36269,-103.49996,2.667,1.79,31.36241,-103.49988,1.941
texnet2017vpod,2017,11,4,31.36121,-103.49765,2.655,1.57,31.36149,-103.49773,3.381
texnet2017walb,2017,11,10,31.43945,-103.579,3.941,1.36,31.43826,-103.57984,2.507
texnet2017wcqu,2017,11,11,31.54035,-103.28877,6.999,1.74,31.54967,-103.29547,7.905
texnet2017wdsx,2017,11,12,31.40141,-103.55085,4.366,1.65,31.39666,-103.55272,3.818
texnet2017weic,2017,11,12,31.41025,-103.51439,2.431,1.87,31.39504,-103.50361,2.61
texnet2017wemw,2017,11,12,31.23388,-103.59795,7.87,1.53,31.23006,-103.59533,6.26
texnet2017wfsh,2017,11,13,31.23359,-103.597,8.146,1.46,31.23741,-103.59962,9.756
texnet2017wgpf,2017,11,13,31.19495,-103.27511,7.268,2.12,31.18653,-103.26864,8.728
texnet2017wgsr,2017,11,13,31.25122,-103.55268,8.241,1.39,31.24316,-103.56184,9.679
texnet2017whjl,2017,11,14,31.37879,-103.50946,3.953,1.1,31.38815,-103.50415,4.512
texnet2017wibd,2017,11,14,31.44565,-103.57579,2.747,1.55,31.43412,-103.57715,1.324
texnet2017wihl,2017,11,14,31.20117,-103.57389,4.931,1.69,31.19973,-103.57389,5.232
texnet2017wixn,2017,11,14,31.09217,-103.28852,7.732,1.87,31.09926,-103.29031,9.448
texnet2017wjnl,2017,11,15,31.07065,-103.4895,5.1,1.31,31.08411,-103.47625,5.515
texnet2017wlpo,2017,11,16,30.89117,-103.87813,6.371,1.47,30.9061,-103.88567,6.157
texnet2017wmcb,2017,11,16,30.88911,-103.87729,6.408,1.6,30.89233,-103.87815,6.157
texnet2017wmkf,2017,11,16,30.88839,-103.8774,6.47,2.29,30.89511,-103.86749,6.054
texnet2017wmwd,2017,11,17,30.89533,-103.88041,6.355,2.19,30.89873,-103.88992,5.437
texnet2017wmwf,2017,11,17,30.88644,-103.8765,6.519,1.83,30.90708,-103.86112,5.849
texnet2017wmxi,2017,11,17,30.88827,-103.87673,6.459,1.89,30.88819,-103.88081,6.003
texnet2017wmyu,2017,11,17,30.89155,-103.87808,6.311,1.48,30.90611,-103.88247,4.203
texnet2017wmzq,2017,11,17,30.88548,-103.87637,6.541,1.39,30.87578,-103.88023,6.157
texnet2017wnhw,2017,11,17,30.89155,-103.87808,6.292,1.4,30.89416,-103.8803,6.98
texnet2017wnki,2017,11,17,30.88935,-103.87721,6.423,1.73,30.90891,-103.86326,6.054
texnet2017wnpq,2017,11,17,30.88812,-103.87685,6.499,1.86,30.88678,-103.89095,5.335
texnet2017wnsp,2017,11,17,30.88921,-103.87742,6.456,1.83,30.87164,-103.88075,9.705
texnet2017woia,2017,11,17,30.89704,-103.88013,6.375,1.61,30.8969,-103.88991,6.157
texnet2017worh,2017,11,18,30.89684,-103.88016,6.373,1.68,30.87583,-103.85995,4.82
texnet2017wpaz,2017,11,18,30.89708,-103.88016,6.323,2.38,30.89231,-103.88456,6.157
texnet2017wphv,2017,11,18,31.44612,-103.57361,3.667,1.42,31.44791,-103.575,6.157
texnet2017wpxb,2017,11,18,30.90057,-103.88094,6.359,2.48,30.90108,-103.87231,6.414
texnet2017wpzb,2017,11,18,30.90126,-103.88091,6.23,2.89,30.9029,-103.87872,6.003
texnet2017wqbt,2017,11,18,31.40553,-103.50369,3.079,1.69,31.39642,-103.5063,1.735
texnet2017wqea,2017,11,18,30.8746,-103.86518,5.56,2.01,30.87493,-103.84927,5.335
texnet2017wqhu,2017,11,18,30.90234,-103.88137,6.307,2.15,30.90336,-103.87712,6.054
texnet2017wqiy,2017,11,19,30.90119,-103.88149,6.28,2.49,30.90428,-103.87819,5.746
texnet2017wqjj,2017,11,19,30.90116,-103.88105,6.358,2.06,30.89782,-103.88671,6.054
texnet2017wqlh,2017,11,19,30.90354,-103.8812,6.364,1.72,30.91987,-103.89213,4.82
texnet2017wqmu,2017,11,19,31.40265,-103.51194,3.454,1.19,31.407,-103.51756,2.301
texnet2017wqne,2017,11,19,31.49027,-103.69106,4.818,1.47,31.48279,-103.67278,3.998
texnet2017wqof,2017,11,19,30.90028,-103.881,6.275,1.74,30.88773,-103.88027,5.952
texnet2017wqot,2017,11,19,30.87611,-103.86539,5.624,1.57,30.87578,-103.8813,5.849
texnet2017wqtb,2017,11,19,30.90353,-103.88151,6.321,2.16,30.896,-103.87923,7.803
texnet2017wqtr,2017,11,19,31.44399,-103.56898,5.398,1.5,31.45434,-103.56319,3.792
texnet2017wquv,2017,11,19,31.40781,-103.57756,5.031,1.19,31.39965,-103.57553,3.329
texnet2017wrfq,2017,11,19,30.89904,-103.88157,6.564,1.88,30.90241,-103.88993,6.054
texnet2017wrll,2017,11,19,30.90142,-103.88081,6.237,2.52,30.90063,-103.8675,8.008
texnet2017wsax,2017,11,19,30.90132,-103.88103,6.328,1.7,30.90147,-103.89634,5.335
texnet2017wsbf,2017,11,19,30.90347,-103.88155,6.321,2.26,30.90703,-103.88141,6.877
texnet2017wsby,2017,11,19,30.90147,-103.88128,6.306,2.05,30.89783,-103.88244,8.625
texnet2017wted,2017,11,20,30.90109,-103.88118,6.195,2.99,30.88408,-103.86852,8.317
texnet2017wwfx,2017,11,22,31.42228,-103.54995,4.316,1.64,31.41298,-103.53205,4.615
texnet2017wwww,2017,11,22,31.52692,-103.26678,5.538,1.65,31.50829,-103.28807,4.409
texnet2017wxcs,2017,11,22,31.14331,-103.49496,5.693,1.64,31.15376,-103.50215,6.157
texnet2017wycg,2017,11,23,31.18571,-103.27731,4.36,2.49,31.19573,-103.27183,6.774
texnet2017wyki,2017,11,23,31.40948,-103.58466,6.089,1.54,31.41022,-103.575,7.494
texnet2017wzoi,2017,11,24,31.3987,-103.54592,3.763,0.94,31.40103,-103.54816,4.203
texnet2017wzsq,2017,11,24,31.43463,-103.55197,5.263,1.11,31.43136,-103.54923,5.746
texnet2017wzxc,2017,11,24,31.39892,-103.55754,4.293,1.22,31.4008,-103.55111,4.281
texnet2017wzzu,2017,11,24,31.39982,-103.54808,4.242,1.48,31.41735,-103.54467,4.743
texnet2017xagy,2017,11,24,31.40522,-103.5546,4.871,1.09,31.3946,-103.55675,3.278
texnet2017xbhk,2017,11,25,31.48614,-103.39143,4.382,1.66,31.5002,-103.39555,6.054
texnet2017xbrb,2017,11,25,30.904,-103.88148,6.311,1.32,30.88818,-103.88294,7.648
texnet2017xdee,2017,11,26,31.39291,-103.53077,3.54,1.46,31.3854,-103.53206,3.586
texnet2017xdpu,2017,11,26,31.24255,-103.54945,5.305,1.37,31.24385,-103.54389,8.934
texnet2017xdro,2017,11,26,31.2435,-103.55089,5.388,1.42,31.24408,-103.56184,5.052
texnet2017xfka,2017,11,27,31.40488,-103.56652,5.033,1.32,31.39597,-103.5648,3.946
texnet2017xftj,2017,11,27,31.40307,-103.56246,4.597,1.14,31.38793,-103.56292,3.047
texnet2017xhua,2017,11,28,31.24765,-103.5552,5.6,1.85,31.24569,-103.55675,5.643
texnet2017xhub,2017,11,28,31.24734,-103.55591,5.537,1.77,31.25856,-103.53853,3.895
texnet2017xiqk,2017,11,29,31.22639,-103.5328,5.836,2.18,31.22799,-103.52059,5.257
texnet2017xiyt,2017,11,29,31.41029,-103.5668,3.32,1.6,31.39804,-103.57366,3.869
texnet2017xiyu,2017,11,29,31.40998,-103.56623,3.305,1.46,31.39804,-103.57204,3.715
texnet2017xjbz,2017,11,29,31.40999,-103.56706,3.599,1.2,31.4054,-103.55863,5.257
texnet2017xjmr,2017,11,29,31.52931,-103.2666,5.446,1.6,31.53765,-103.26218,4.923
texnet2017xnin,2017,12,1,31.30753,-103.42934,9.942,1.77,31.31181,-103.43342,9.962
texnet2017xogz,2017,12,2,31.24392,-103.55117,5.305,1.41,31.23811,-103.56024,6.08
texnet2017xpcq,2017,12,2,31.44365,-103.52971,3.428,1.73,31.44032,-103.5103,3.355
texnet2017xqcj,2017,12,3,31.41685,-103.52721,2.688,2.15,31.40999,-103.53125,3.047
texnet2017xqkf,2017,12,3,31.4845,-103.40094,5.967,1.13,31.48551,-103.40954,6.363
texnet2017xsbx,2017,12,4,31.42411,-103.5385,4.186,1.26,31.43618,-103.52587,4.795
texnet2017xsde,2017,12,4,31.42437,-103.5378,4.242,1.22,31.44561,-103.53258,4.152
texnet2017xtee,2017,12,4,31.41557,-103.59718,2.433,1.47,31.41297,-103.60828,4.82
texnet2017xvtg,2017,12,6,31.40292,-103.47024,3.858,1.32,31.40468,-103.47194,3.998
texnet2017xxpq,2017,12,7,31.08914,-103.50427,2.25,1.18,31.08735,-103.50513,2.121
texnet2017xzhj,2017,12,8,31.37099,-103.45903,4.205,1.72,31.35963,-103.45911,4.409
texnet2017xzjo,2017,12,8,31.44547,-103.586,6.23,1.42,31.44699,-103.58897,5.54
texnet2017ybwk,2017,12,9,31.36553,-103.45405,4.251,1.75,31.36078,-103.46742,4.589
texnet2017yelo,2017,12,10,31.44302,-103.56692,5.697,2.12,31.45273,-103.55594,5.257
texnet2017yels,2017,12,10,31.38619,-103.46501,3.482,1.41,31.38354,-103.47089,3.586
texnet2017yewb,2017,12,11,31.37928,-103.46933,4.641,1.45,31.37893,-103.46338,4.512
texnet2017yfke,2017,12,11,31.39168,-103.48219,3.737,2,31.37527,-103.47948,3.689
texnet2017yfzw,2017,12,11,31.30366,-103.40965,5.033,1.96,31.30258,-103.40233,7.905
texnet2017yhms,2017,12,12,31.38012,-103.47033,4.441,1.51,31.38352,-103.45693,4.203
texnet2017yikd,2017,12,13,31.30414,-103.41008,5.067,2.31,31.31726,-103.383,7.186
texnet2017yimb,2017,12,13,31.1887,-103.56471,6.029,1.92,31.19973,-103.55461,7.494
texnet2017yjyv,2017,12,13,31.38108,-103.49494,4.449,1.6,31.36517,-103.50202,4.923
texnet2017ykdu,2017,12,14,31.53451,-103.25217,5.634,1.45,31.53167,-103.26381,5.18
texnet2017ykke,2017,12,14,31.0694,-103.49565,4.997,1.33,31.07171,-103.48589,5.463
texnet2017yksd,2017,12,14,31.42891,-103.56019,4.329,1.53,31.43665,-103.55433,5.515
texnet2017ymir,2017,12,15,31.38196,-103.49574,4.38,2.19,31.36241,-103.49773,5.232
texnet2017ymmy,2017,12,15,31.40449,-103.5035,2.907,1.57,31.41044,-103.49958,2.995
texnet2017ymoc,2017,12,15,31.08647,-103.50171,2.455,1.99,31.08826,-103.50085,2.584
