network,station,longitude,latitude,affiliation,archive,location,place,elevation,enddate,startdate,label
US,KVTX,-97.8929,27.5459,United States National Seismic Network,TXHUB,,Kingsville,14.6,,2006-06-15,Other
US,JCT,-99.8022,30.4794,United States National Seismic Network,TXHUB,,Junction,591,,2000-02-02,Other
US,NATX,-94.661,31.7598,United States National Seismic Network,TXHUB,,Nacogdoches,168,,2004-05-11,Other
US,MNTX,-105.3821,31.6985,United States National Seismic Network,TXHUB,,Cornudas Mountains,404.8,,2003-05-28,Other
US,MIAR,-93.5765,34.5454,United States National Seismic Network,TXHUB,,Mount Ida,207,,1992-09-22,Other
US,WMOK,-98.7807,34.7379,United States National Seismic Network,TXHUB,,Wichita Mountains,486,,1992-11-11,Other
US,AMTX,-101.6808,34.8837,United States National Seismic Network,TXHUB,,Amarillo,1010,,2002-09-28,Other
US,CBKS,-99.7374,38.814,United States National Seismic Network,TXHUB,,Cedar Bluff,677,,1994-09-11,Other
MX,CCIG,-92.136917,16.281885,Mexican National Seismic Network,TXHUB,,Comitan,1625,,1999-12-31,Other
MX,TLIG,-98.566467,17.562675,Mexican National Seismic Network,TXHUB,,Tlapa,1136,,2008-12-31,Other
MX,ZAIG,-102.567001,22.769199,Mexican National Seismic Network,TXHUB,,Zacatecas,2408,,1996-12-31,Other
MX,CGIG,-107.977352,30.365044,SSN,TXHUB,,CASAS GRANDES,1524,,2006-12-06,Other
MX,HPIG,-105.664017,26.936794,SSN,TXHUB,,HIDALGO DEL PARRAL,1786,,2006-12-19,Other
MX,MCIG,-101.483627,27.977093,SSN,TXHUB,,MUZQUIZ,483,,2015-02-08,Other
MX,MYIG,-89.639614,20.948069,SSN,TXHUB,,MERIDA,13,,2010-04-11,Other
MX,LVIG,-96.4185,19.72622,SSN,TXHUB,,LAGUNA VERDE,57,,1996-04-09,Other
MX,BCIG,-105.412656,27.544763,SSN,TXHUB,,LA BOQUILLA,1265,,2013-11-10,Other
MX,LNIG,-99.465617,24.898167,SSN,TXHUB,,LINARES,329,,2006-01-18,Other
MX,MNIG,-100.29,26.61,SSN,TXHUB,,Monterrey,674,,2015-12-31,Other
MX,NZIG,-109.554158,30.373054,SSN,TXHUB,,NACOZARI,1546,,2010-11-05,Other
MX,SCIG,-91.186588,18.967037,SSN,TXHUB,,SABANCUY,18,,2001-09-30,Other
PI,WP04,-106.9193,34.0733,PASSCAL Pier Test Data,TXHUB,,PASSCAL_WEST_PIER_08,1430,2016-12-31,2016-01-11,Decomissioned
PI,WP03,-106.9193,34.0733,PASSCAL Pier Test Data,TXHUB,,PASSCAL_WEST_PIER_06,1430,2016-12-31,2016-01-11,Decomissioned
PI,SP00,-106.919,34.074,PASSCAL Pier Test Data,TXHUB,,Socorro,1430,,2006-03-26,Other
SC,Y22A,-106.965202,33.937,New Mexico Tech Seismic Network (),,,Socorro,1674,,2010-02-03,Other
SC,CL2B,-103.878601,32.264168,New Mexico Tech Seismic Network (),,,Gnome Location,2121,,1998-12-31,Other
SC,CPRX,-103.867302,33.0308,New Mexico Tech Seismic Network (),,,Cap Rock,1361,,1998-12-31,Other
SC,DAG,-104.691704,32.591,New Mexico Tech Seismic Network (),,,Dagger Draw,1280,,1998-12-31,Other
SC,GDL2,-104.363701,32.200802,New Mexico Tech Seismic Network (),,,Guadalupe Mountains,1211,,1998-12-31,Other
SC,HTMS,-103.634163,32.4725,New Mexico Tech Seismic Network (),,,Hat Mesa,1192,,1998-12-31,Other
SC,CBET,-103.999001,32.420502,New Mexico Tech Seismic Network (),,,Carlsbad East Tower,1042,,1998-12-31,Other
SC,CL7,-103.8084,32.413,New Mexico Tech Seismic Network (),,,WIPP Site,1034,,1998-12-31,Other
SC,SRH,-104.515381,32.491749,New Mexico Tech Seismic Network (),,,Seven River Hills,1266,,2004-05-11,Other
SC,SSS,-103.396835,32.354599,New Mexico Tech Seismic Network (),,,San Simon Sink,1073,,1998-12-31,Other
SC,JAL,-103.22932,32.20241,New Mexico Tech Seismic Network (),,,Jal,1020,,2019-12-19,Other
SC,PDB,-103.59662,32.0722,New Mexico Tech Seismic Network (),,,Paduca Breaks,1025,,2019-12-19,Other
SC,121A,-107.785103,32.532398,New Mexico Tech Seismic Network (),,,Cookes Peak,1652,,2019-03-05,Other
SC,LEM,-106.974167,34.165501,New Mexico Tech Seismic Network (),,,Lemita,1698,,1998-12-31,Other
SC,SBY,-107.180664,33.975166,New Mexico Tech Seismic Network (),,,South Baldy,3230,,1998-12-31,Other
SC,SMC,-107.019302,33.778667,New Mexico Tech Seismic Network (),,,San Marcial,1560,,1998-12-31,Other
IU,HKT,-95.838402,29.9618,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Hockley,-413,,2011-09-26,Other
IU,ANMO,-106.457199,34.945911,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Albuquerque,1820,,2008-06-30,Other
IU,TEIG,-88.276299,20.226299,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Tepich,40,,2014-10-29,Other
EP,KIDD,-106.506376,31.771774,UTEP Seismic Network,TXHUB,,KIDD Seismic Observatory,1162.5,,2009-10-07,Other
TX,FW11,-97.12787,32.72273,,,,"Arlington, TX",197.5,,2016-10-19,TexNet portable
TX,FW04,-96.92325,32.84763,,,,"Dallas, TX",144.8,,2016-09-27,TexNet portable
TX,FW09,-96.913922,32.92282,,,,"Farmers Branch, TX",133.3,,2016-09-28,TexNet portable
TX,FW02,-97.34255,32.95019,,,,"Haslet, TX",226.5,,2016-09-21,TexNet portable
TX,FW03,-98.065202,33.039624,Unavailable,TXHUB,,"Mineral Wells, TX",321,2021-06-16,2016-10-17,Decomissioned
TX,FW05,-96.747081,32.988669,,,,"Dallas, TX",207.3,,2016-11-15,TexNet portable
TX,FW06,-97.55693,32.972559,,,,"Azle, TX",233,,2016-10-18,TexNet portable
